codigo,descripcion
6,Ajuste de la delimitación
7,Elemento parcialmente eliminado
8,Elemento totalmente eliminado
9,Registro previo dudoso
13,EP ya identificado inferior a medidas mínimas FI
18,EP ya identificado superior a medidas máximas
