codigo,descripcion
AG,Árboles en grupo
AL,Árboles en hilera
AP,Árboles aislados
CH,Charcas (charcas, lagunas, estanques, abrevaderos naturales y pequeños humedales)
CO,Pequeñas construcciones de arquitectura tradicional
IS,Islas o Enclaves  (Islas o enclaves de vegetación natural o roca)
