codigo,descripcion
1,1-TCS
2,2-TCS
3,3-TCS
4,4-TCS
5,5-TCS
6,6-TCR
7,7-TCR
8,8-TCR
9,9-TCR
10,10-TCR
11,11-CP
12,12-CP
13,13-CP
14,14-CP
15,15-PP
16,16-PP
17,17-PP
18,18-PP
19,19-PP
20,20
